Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,1,Molex 53047-0210,
"C1, C12, C16, C18, C19, C2, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C32, C33, C5, C9",0603,20,100n,
"C10, C11",0603,2,2.2u,
"C13, C14",1206,2,22u,
"C15, C17, C20, C34, C35, C6, C7",0603,7,1u,
"C3, C31, C4, C8",0603,4,6.8p,
"C36, C37",CP_Radial_D6.3mm_P2.50mm,2,100u,
D1,SOT-23W,1,PESD2USB3UV,
"D10, D11, D12, D14, D16, D18, D20, D22, D24, D26, D28, D30, D32",0603,13,LED,
"D13, D15, D17, D19, D21, D23, D25, D27, D29, D31, D6, D7, D8",D_SOD-123F,13,D_Schottky,
"D2, D3",LED_RGB_5050-6,2,LED_RGB,
"D33, D34, D35, D36, D37, D38, D39, D40, D41, D42",D_SOD-323_HandSoldering,10,D_Zener,
D5,D_SMA,1,D_Schottky,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
J1,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
"J10, J11, J12, J13, J14, J15, J6, J7, J8, J9",Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal_VerticalCompatible,10,Molex 43045-0400,
"J16, J5",Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal_VerticalCompatible,2,Molex 43650-0200,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J3, J4",Molex_Micro-Fit_3.0_43650-0500_1x05_P3.00mm_Horizontal_VerticalCompatible,2,Molex 43650-0500,
L1,0603,1,L_Ferrite,
L2,L_Abracon_ASPI-4030S,1,8.2u,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,10,AO3400A,
"R1, R13, R2, R22, R23, R24, R26, R27, R28, R3, R30, R31, R32, R34, R35, R36, R38, R39, R4, R40, R42, R43, R44, R46, R47, R48, R5, R50, R51, R52, R54, R55, R56, R58, R59, R60",0603,36,5.1k,
"R10, R6, R7, R9",0603,4,50,
"R11, R20, R21, R62, R8",0603,5,120,
"R12, R14, R16, R17",0603,4,100k,
R15,0603,1,12.7k,
R18,0603,1,2.2k,
"R19, R25, R29, R33, R37, R41, R45, R49, R53, R57, R61",0603,11,470,
"S1, S2, S3",RKB2SJM250SMTRLFS,3,RKB2SJM250SMTR_LFS,
"S4, S5",SLW8645872ARAND,2,SLW-864587-2A-RA-N-D,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,
U2,SOT-23-6_Handsoldering,1,TPS54302,
U3,SOT95P280X145-5N,1,TLV74033PDBVR,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,TJA1051T-3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
Y2,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,32.768 kHz 6pF,
