Designator,Mid X,Mid Y,Rotation,Layer
BT1,144.75,-106.375,270.0,top
C1,98.0,-113.5,90.0,top
C10,181.0,-92.5,90.0,top
C11,182.75,-92.5,90.0,top
C12,174.5,-90.5,270.0,top
C13,169.5,-95.0,90.0,top
C14,172.0,-95.0,90.0,top
C15,160.75,-95.5,270.0,top
C16,164.3,-90.25,90.0,top
C17,154.75,-95.5,90.0,top
C18,149.5,-112.25,90.0,top
C19,153.0,-106.25,0.0,top
C2,93.0,-113.5,90.0,top
C20,153.0,-104.75,0.0,top
C21,197.75,-76.4,0.0,top
C22,185.75,-76.4,0.0,top
C23,173.75,-76.4,0.0,top
C24,161.75,-76.4,0.0,top
C25,149.75,-76.4,0.0,top
C26,137.75,-76.4,0.0,top
C27,125.75,-76.4,0.0,top
C28,113.75,-76.4,0.0,top
C29,101.75,-76.4,0.0,top
C3,146.5,-97.0,180.0,top
C30,89.75,-76.4,0.0,top
C31,139.4875,-105.3475,270.0,top
C32,94.0,-83.25,0.0,top
C33,101.0,-87.0,270.0,top
C34,102.75,-87.0,270.0,top
C35,138.0,-98.0,270.0,top
C36,180.25,-107.067621,270.0,top
C37,172.75,-107.067621,270.0,top
C4,146.5,-91.0,0.0,top
C5,143.5,-96.25,90.0,top
C6,143.5,-99.75,270.0,top
C7,140.0,-98.0,270.0,top
C8,133.4875,-105.3475,270.0,top
C9,186.3,-89.0,90.0,top
D1,124.5,-113.5,270.0,top
D10,202.6,-91.8,270.0,top
D11,199.6,-91.8,270.0,top
D12,196.6,-91.8,270.0,top
D13,193.5,-71.0,0.0,top
D14,190.25,-64.75,0.0,top
D15,181.5,-71.0,0.0,top
D16,178.25,-64.75,0.0,top
D17,169.5,-71.0,0.0,top
D18,166.25,-64.75,0.0,top
D19,157.5,-71.0,0.0,top
D2,99.0,-123.25,180.0,top
D20,154.25,-64.75,0.0,top
D21,145.5,-71.0,0.0,top
D22,142.25,-64.75,0.0,top
D23,133.5,-71.0,0.0,top
D24,130.25,-64.75,0.0,top
D25,121.5,-71.0,0.0,top
D26,118.25,-64.75,0.0,top
D27,109.5,-71.0,0.0,top
D28,106.25,-64.75,0.0,top
D29,97.5,-71.0,0.0,top
D3,98.96414,-130.75,180.0,top
D30,94.25,-64.75,0.0,top
D31,85.5,-71.0,0.0,top
D32,82.25,-64.75,0.0,top
D33,198.0,-74.5,0.0,top
D34,186.0,-74.5,0.0,top
D35,174.0,-74.5,0.0,top
D36,162.0,-74.5,0.0,top
D37,150.0,-74.5,0.0,top
D38,138.0,-74.5,0.0,top
D39,126.0,-74.5,0.0,top
D40,114.0,-74.5,0.0,top
D41,102.0,-74.5,0.0,top
D42,90.0,-74.5,0.0,top
D5,186.5,-102.0,0.0,top
D6,166.0,-101.5,0.0,top
D7,166.0,-99.0,0.0,top
